SwName,IpAddress
SJZZL-Access-S5110-SW11,172.17.0.11
SJZZL-Access-S5110-SW12,172.17.0.12
SJZZL-Access-S5110-SW13,172.17.0.13
SJZZL-Access-S5110-SW14,172.17.0.14
SJZZL-Access-S5110-SW15,172.17.0.15
SJZZL-Access-S5110-SW16,172.17.0.16
SJZZL-Access-S5110-SW17,172.17.0.17
SJZZL-Access-S5110-SW18,172.17.0.18
SJZZL-Access-S5110-SW19,172.17.0.19
SJZZL-Access-S5110-SW20,172.17.0.20
SJZZL-Access-S5110-SW21,172.17.0.21
SJZZL-Access-S5110-SW22,172.17.0.22
SJZZL-Access-S5110-SW23,172.17.0.23
SJZZL-Access-S5110-SW24,172.17.0.24
SJZZL-Access-S5110-SW25,172.17.0.25
SJZZL-Access-S5110-SW26,172.17.0.26
SJZZL-Access-S5110-SW27,172.17.0.27
SJZZL-Access-S5110-SW28,172.17.0.28
SJZZL-Access-S5110-SW29,172.17.0.29
SJZZL-Access-S5110-SW30,172.17.0.30
SJZZL-Access-S5110-SW31,172.17.0.31
SJZZL-Access-S5110-SW32,172.17.0.32
SJZZL-Access-S5110-SW33,172.17.0.33
SJZZL-Access-S5110-SW34,172.17.0.34
SJZZL-Access-S5110-SW35,172.17.0.35
SJZZL-Access-S5110-SW37,172.17.0.37
SJZZL-Access-S5110-SW38,172.17.0.38
SJZZL-Office-S5048-SW5,172.17.0.5
SJZZL-IT-S5048-SW6,172.17.0.6
